时间,PM2.5,PM10,CO,NO2,SO2,O3,zPM2.5,zPM10,zCO,zNO2,zSO2,zO3,风速,压强,降水量,温度,湿度,PM2.5差异,PM10差异,CO差异,NO2差异,SO2差异,O3差异
2018/11/14 22:00,50,85,.934,9,36,58,73.15,131,.748,72.15,15.7,98.78,.77,1018.7,89.8,14,71.15,23.15,46,-.186,63.15,-20.3,40.78
2018/11/14 23:00,55,85,.919,9,36,57,72.47,129.56,.744,69.56,15.66,98.47,.897,1018.597,89.8,14,71.25,17.47,44.56,-.175,60.56,-20.34,41.47
2018/11/15 0:00,50,81,.873,9,32,59,68.46,122.33,.738,66.46,15.71,85.38,.588,1018.717,89.8,14,73.33,18.46,41.33,-.135,57.46,-16.29,26.38
2018/11/15 1:00,46,71,.839,9,26,65,54.35,104.87,.717,58.74,15.22,45.7,.53,1018.587,89.8,14,70.74,8.35,33.87,-.122,49.74,-10.78,-19.3
2018/11/15 2:00,43,59,.781,10,25,68,45.25,92.58,.708,56.58,15.21,41.38,.638,1018.238,89.875,14,69.38,2.25,33.58,-.0730000000000001,46.58,-9.79,-26.62
2018/11/15 3:00,32,51,.739,9,24,69,41,84.17,.704,54.63,15.04,45.17,.713,1017.854,89.9,14,69.46,9,33.17,-.035,45.63,-8.96,-23.83
2018/11/15 4:00,30,47,.743,9,23,64,45.07,91.74,.7,55.3,15.41,53.22,.544,1018.067,89.904,13.78,74.56,15.07,44.74,-.043,46.3,-7.59,-10.78
2018/11/15 5:00,36,50,.881,8,37,39,65.92,118.19,.715,72.12,15.58,90.12,.6,1018.362,90.2,12.85,82.42,29.92,68.19,-.166,64.12,-21.42,51.12
2018/11/15 6:00,39,54,.792,7,34,38,68.96,123.38,.7,73.04,15.77,89.27,.519,1018.804,91.938,12,91.96,29.96,69.38,-.0920000000000001,66.04,-18.23,51.27
2018/11/15 7:00,44,45,.706,6,32,41,57.74,110.37,.7,73.37,15.33,90.33,.593,1019.226,93.767,12,94.04,13.74,65.37,-.00600000000000001,67.37,-16.67,49.33
2018/11/15 8:00,35,29,.68,6,33,42,49.35,100.48,.713,74.7,15.52,90.43,.83,1019.609,94.791,12,93.61,14.35,71.48,.0329999999999999,68.7,-17.48,48.43
2018/11/15 9:00,27,31,.733,7,37,41,44.23,91.5,.691,78.14,15.41,91.64,.568,1020.105,94.8,12,91.5,17.23,60.5,-.042,71.14,-21.59,50.64
2018/11/15 13:00,23,42,.616,7,36,28,36.33,72.75,.7,75.13,15.38,92.75,.558,1017.133,94.967,14.75,79.25,13.33,30.75,.084,68.13,-20.62,64.75
2018/11/15 14:00,21,29,.598,7,42,25,37.63,75.5,.704,79.13,15.42,92.25,.525,1017.092,95,14.63,79.54,16.63,46.5,.106,72.13,-26.58,67.25
2018/11/15 15:00,22,35,.679,8,51,19,37.91,76.35,.709,90.83,15.52,92.83,.604,1017.243,95,15,79.7,15.91,41.35,.0299999999999999,82.83,-35.48,73.83
2018/11/15 16:00,22,36,.694,9,50,20,37.61,75.75,.721,91.21,15.39,94.75,.589,1017.4,95,14.46,79.57,15.61,39.75,.027,82.21,-34.61,74.75
2018/11/15 17:00,20,36,.648,8,56,18,35.41,70.86,.705,89.18,15.55,95.18,.364,1017.982,95,14.23,79.32,15.41,34.86,.0569999999999999,81.18,-40.45,77.18
2018/11/15 18:00,20,41,.601,8,38,30,29.3,55.52,.696,72.41,15.41,91.22,.833,1018.496,95,14.15,76.56,9.3,14.52,.095,64.41,-22.59,61.22
2018/11/15 19:00,18,28,.524,8,35,34,31.81,61.48,.704,71.3,15.81,89.93,.767,1018.752,95,14,78.33,13.81,33.48,.18,63.3,-19.19,55.93
2018/11/15 20:00,23,29,.589,11,44,24,40.91,82.78,.7,80.22,15.96,89.78,.483,1019.161,95,14,79.83,17.91,53.78,.111,69.22,-28.04,65.78
2018/11/15 21:00,27,37,.56,11,38,29,38.93,78.34,.7,77.07,15.72,89.31,.576,1019.672,95,14,81.62,11.93,41.34,.14,66.07,-22.28,60.31
2018/11/15 22:00,20,34,.53,9,32,32,38.93,77.1,.683,70.31,15.07,88.03,.448,1019.8,95.128,13.14,87.28,18.93,43.1,.153,61.31,-16.93,56.03
2018/11/15 23:00,17,24,.519,7,26,35,35.03,68.93,.662,64.45,15.14,87.21,.455,1019.855,95.2,13,89.52,18.03,44.93,.143,57.45,-10.86,52.21
2018/11/16 0:00,12,17,.499,7,21,41,34.66,67.31,.655,56.31,14.93,80.07,.462,1019.552,92.21,12.48,91.34,22.66,50.31,.156,49.31,-6.07,39.07
2018/11/16 1:00,13,17,.486,6,16,48,33.9,67.17,.648,51.14,15.28,51.97,.424,1019.648,95.61,12,91.62,20.9,50.17,.162,45.14,-.720000000000001,3.97
2018/11/16 2:00,16,17,.475,7,16,51,34.13,67.61,.635,47.97,14.97,45.9,.665,1019.713,95.755,12,91.58,18.13,50.61,.16,40.97,-1.03,-5.1
2018/11/16 3:00,16,17,.481,6,14,49,37.46,75.21,.646,47.29,15.17,50.38,.588,1019.842,95.8,12,92.21,21.46,58.21,.165,41.29,1.17,1.38
2018/11/16 4:00,18,25,.488,6,16,44,43.19,88.63,.656,48.93,15.48,62,.493,1020.207,95.8,12,92.26,25.19,63.63,.168,42.93,-.52,18
2018/11/16 5:00,23,24,.479,6,15,50,42.56,87.28,.648,44,15.48,41.36,.596,1020.672,95.8,12,90.92,19.56,63.28,.169,38,.48,-8.64
2018/11/16 6:00,24,22,.504,6,25,44,43.22,90.11,.667,55.93,15.26,67.67,.867,1020.607,95.8,11.89,89.78,19.22,68.11,.163,49.93,-9.74,23.67
2018/11/16 7:00,20,29,.561,7,33,39,42.39,86.78,.661,69.06,15.44,87.06,.761,1021.406,95.8,11.94,87.83,22.39,57.78,.1,62.06,-17.56,48.06
2018/11/16 8:00,26,22,.537,7,25,62,36.38,71.5,.669,57.62,15.15,56.54,.942,1022.612,95.8,12,82.58,10.38,49.5,.132,50.62,-9.85,-5.46
2018/11/16 9:00,16,24,.508,7,25,70,30,57.38,.654,55.88,14.96,47.23,.927,1022.788,95.8,12.58,78.5,14,33.38,.146,48.88,-10.04,-22.77
2018/11/16 10:00,14,21,.542,6,25,74,32.84,63.64,.672,53.92,14.92,51.76,.828,1022.952,95.8,13.04,76.32,18.84,42.64,.13,47.92,-10.08,-22.24
2018/11/16 11:00,15,29,.563,7,22,80,37.7,75.17,.687,51.22,14.96,58.65,1.283,1022.517,95.8,13.17,75.52,22.7,46.17,.124,44.22,-7.04,-21.35
2018/11/16 12:00,21,25,.596,7,19,87,40.84,83.04,.684,49.72,15.24,61.12,1.24,1022.06,95.8,13.48,74.68,19.84,58.04,.0880000000000001,42.72,-3.76,-25.88
2018/11/16 13:00,22,31,.615,6,19,84,41.57,85.04,.679,49.11,14.79,59.5,1.046,1021.464,95.8,13,76.89,19.57,54.04,.0640000000000001,43.11,-4.21,-24.5
2018/11/16 14:00,23,29,.676,6,22,65,41.64,85.32,.686,52.32,14.77,49.55,1.2,1021.391,95.8,13,79.32,18.64,56.32,.01,46.32,-7.23,-15.45
2018/11/16 15:00,16,32,.655,7,20,47,42.78,85.61,.683,52.13,15.13,58.65,1.43,1021.691,95.765,11.52,85.61,26.78,53.61,.028,45.13,-4.87,11.65
2018/11/16 16:00,19,21,.652,6,22,35,46.33,94.48,.671,55.52,15.19,82.81,1.443,1022.124,95.8,11,90.67,27.33,73.48,.019,49.52,-6.81,47.81
2018/11/16 17:00,23,28,.659,6,24,33,54.81,110.12,.673,58.08,15.65,82.81,1.612,1022.523,95.8,10.08,92.38,31.81,82.12,.014,52.08,-8.35,49.81
2018/11/16 18:00,26,35,.658,6,28,33,56.67,112.67,.67,61.83,15.5,83.9,1.703,1023.063,95.8,10.33,89.43,30.67,77.67,.012,55.83,-12.5,50.9
2018/11/16 19:00,28,44,.651,7,21,42,48.93,100.72,.672,52.1,15.24,69.03,1.728,1023.414,95.8,11,83.14,20.93,56.72,.021,45.1,-5.76,27.03
2018/11/16 20:00,30,39,.672,8,19,47,47.57,97.87,.677,48.17,15.07,52.87,1.703,1023.483,95.8,11,79.83,17.57,58.87,.005,40.17,-3.93,5.87
2018/11/16 21:00,29,40,.685,7,18,46,43.38,89.55,.672,47.31,15.17,50.41,1.086,1023.462,95.8,10.24,79.93,14.38,49.55,-.013,40.31,-2.83,4.41
2018/11/16 22:00,31,35,.678,6,23,42,43.06,87.06,.684,52.13,15.13,75.74,.929,1023.697,95.8,10,79.65,12.06,52.06,.00600000000000001,46.13,-7.87,33.74
2018/11/16 23:00,42,36,.666,9,21,42,43.41,89.55,.686,48.1,15.59,69.62,.659,1023.879,95.8,10,79.97,1.41,53.55,.02,39.1,-5.41,27.62
2018/11/17 0:00,26,37,.648,10,18,46,42.41,88.41,.697,44.59,15.9,39.76,.907,1023.91,95.8,10,77.21,16.41,51.41,.0489999999999999,34.59,-2.1,-6.24
2018/11/17 1:00,26,41,.548,8,16,48,27.11,51.17,.639,42.28,15.28,40.22,1.106,1023.528,95.8,10,74.11,1.11,10.17,.091,34.28,-.720000000000001,-7.78
2018/11/17 2:00,18,28,.445,6,12,53,16.35,30.2,.62,38.2,15.1,43.65,.775,1022.79,95.8,9.8,72.75,-1.65,2.2,.175,32.2,3.1,-9.35
2018/11/17 3:00,11,17,.44,6,15,48,16.04,28.56,.607,40.22,15.07,41.19,.819,1022.544,95.8,9,75.04,5.04,11.56,.167,34.22,.0700000000000003,-6.81
2018/11/17 4:00,8,22,.471,8,19,38,24.69,45.06,.613,47.69,15.19,60,.65,1022.713,95.8,9,76.75,16.69,23.06,.142,39.69,-3.81,22
2018/11/17 5:00,19,25,.498,8,21,36,26.88,48.76,.608,48.64,15.08,71.84,.488,1022.888,95.8,9,75.52,7.88,23.76,.11,40.64,-5.92,35.84
2018/11/17 6:00,15,26,.559,7,27,29,26.71,48.39,.639,56.79,15.36,80.29,.564,1023.004,95.8,9,75.82,11.71,22.39,.08,49.79,-11.64,51.29
2018/11/17 7:00,8,27,.58,7,35,19,29.17,53.39,.643,66.17,15.35,80.87,.774,1022.939,95.857,9,76.61,21.17,26.39,.0630000000000001,59.17,-19.65,61.87
2018/11/17 8:00,17,38,.63,8,28,26,30.4,58.24,.684,63.84,15.12,81.88,1.04,1022.644,95.9,10.64,71.04,13.4,20.24,.054,55.84,-12.88,55.88
2018/11/17 9:00,17,38,.685,8,26,39,26.05,46.82,.673,58.45,14.82,77.68,.909,1023.182,95.9,12.68,63.45,9.05,8.82,-.012,50.45,-11.18,38.68
2018/11/17 10:00,15,40,.587,7,33,34,28.74,52.52,.67,60.91,15.09,85.74,1.083,1024.026,95.9,12,67.87,13.74,12.52,.0830000000000001,53.91,-17.91,51.74
2018/11/17 11:00,13,40,.576,7,30,39,31.54,61.38,.688,62.75,15.33,87.83,.792,1022.838,95.9,12,68.42,18.54,21.38,.112,55.75,-14.67,48.83
2018/11/17 12:00,16,46,.575,7,31,38,32.56,63.74,.681,64,15.22,87.48,.774,1021.341,95.9,12.67,67.33,16.56,17.74,.106,57,-15.78,49.48
2018/11/17 13:00,15,52,.543,8,31,39,31.86,61.86,.686,64.18,14.86,88.73,.709,1020.441,95.9,13,66.32,16.86,9.86,.143,56.18,-16.14,49.73
2018/11/17 14:00,21,47,.555,8,38,34,31.79,62.79,.679,69.54,14.92,89.04,.613,1020.421,95.9,13,67.96,10.79,15.79,.124,61.54,-23.08,55.04
2018/11/17 15:00,16,47,.58,8,42,31,30,57,.665,75.8,15.25,90.6,.56,1020.255,95.9,13,68.3,14,10,.0850000000000001,67.8,-26.75,59.6
2018/11/17 16:00,28,46,.569,8,43,35,29.05,54.86,.681,72.1,15.1,91.14,.505,1020.095,95.9,12.67,67.86,1.05,8.86,.112,64.1,-27.9,56.14
2018/11/17 17:00,20,59,.626,7,43,34,32.86,65.57,.686,76.52,14.9,90.1,.324,1020.086,95.9,12,69.71,12.86,6.56999999999999,.0600000000000001,69.52,-28.1,56.1
2018/11/17 18:00,30,55,.631,7,43,32,37.03,74.17,.697,79.3,15.4,90.43,.523,1020.47,95.9,12,73,7.03,19.17,.0659999999999999,72.3,-27.6,58.43
2018/11/17 19:00,20,47,.624,6,40,31,45.07,92.2,.663,79.1,15.37,90.03,.643,1020.473,96.167,11.37,81.17,25.07,45.2,.039,73.1,-24.63,59.03
2018/11/17 20:00,25,43,.642,6,42,26,50.83,102.86,.679,80.86,15.24,88.24,.71,1020.624,96.507,10.59,87.34,25.83,59.86,.037,74.86,-26.76,62.24
2018/11/17 21:00,30,37,.587,6,37,28,49.87,100.93,.67,77.23,15.37,86.67,.673,1021.133,98.93,10,92.37,19.87,63.93,.0830000000000001,71.23,-21.63,58.67
2018/11/17 22:00,26,27,.587,6,32,28,55.52,109.12,.68,70.56,15.36,84.72,.644,1021.108,101.504,10,94.52,29.52,82.12,.0930000000000001,64.56,-16.64,56.72
2018/11/17 23:00,27,27,.608,6,28,31,50.8,102.88,.676,65.04,15.16,83.48,.708,1021.184,104.88,9.56,95.4,23.8,75.88,.0680000000000001,59.04,-12.84,52.48
2018/11/18 0:00,23,21,.579,6,24,35,45.76,93.24,.66,60.4,15.36,83.12,.74,1020.884,106.944,9,95.72,22.76,72.24,.0810000000000001,54.4,-8.64,48.12
2018/11/18 1:00,22,20,.507,6,14,54,40,79.67,.617,46.46,15.08,51.96,.971,1020.583,108.771,9,94.75,18,59.67,.11,40.46,1.08,-2.04
2018/11/18 2:00,13,9,.562,5,14,60,42.39,85.39,.639,45.72,15.17,44.39,.594,1020.106,109.3,9,95.44,29.39,76.39,.077,40.72,1.17,-15.61
2018/11/18 3:00,15,13,.529,6,16,55,43.96,89.93,.641,47.15,15.04,46.19,.693,1020.393,109.3,8.93,96.04,28.96,76.93,.112,41.15,-.960000000000001,-8.81
2018/11/18 4:00,18,14,.504,6,12,56,41.09,81.57,.626,43.48,15.13,41.22,.817,1019.704,109.3,8.35,95.3,23.09,67.57,.122,37.48,3.13,-14.78
2018/11/18 5:00,18,13,.522,6,16,49,42.13,84.63,.617,47.79,15.29,55.29,.604,1019.729,104.788,8.17,95.38,24.13,71.63,.095,41.79,-.710000000000001,6.29
2018/11/18 6:00,15,12,.555,6,20,43,44.04,89.81,.673,52.85,15.5,78.08,.612,1019.846,109.3,8,94.69,29.04,77.81,.118,46.85,-4.5,35.08
2018/11/18 7:00,24,18,.508,5,24,45,40.03,79.86,.628,56.86,15.14,81.69,.669,1020.614,109.334,8.48,92.86,16.03,61.86,.12,51.86,-8.86,36.69
2018/11/18 8:00,19,18,.509,5,25,40,40.48,80.6,.632,59.88,15.12,84.24,.768,1021.184,110.564,9,94.84,21.48,62.6,.123,54.88,-9.88,44.24
2018/11/18 9:00,18,19,.552,6,37,24,45.2,92.64,.668,70.72,15.32,82.72,.756,1021.764,114.12,9,96.32,27.2,73.64,.116,64.72,-21.68,58.72
2018/11/18 10:00,15,16,.626,6,33,26,46.5,95.46,.675,68.58,15.54,82.83,.858,1021.488,115.883,9,95.79,31.5,79.46,.049,62.58,-17.46,56.83
2018/11/18 11:00,26,19,.624,6,31,35,42.9,86.47,.68,65.27,15.9,83.7,.617,1021.27,117.51,8.93,95.4,16.9,67.47,.0560000000000001,59.27,-15.1,48.7
2018/11/18 12:00,11,17,.643,6,33,25,46.26,95.35,.678,68.48,16,82.39,.613,1020.013,118.817,9,95.7,35.26,78.35,.035,62.48,-17,57.39
2018/11/18 13:00,20,23,.644,5,32,29,47.39,98.58,.684,67.35,15.81,82.74,.606,1019.526,119.574,9,95.13,27.39,75.58,.04,62.35,-16.19,53.74
2018/11/18 14:00,15,25,.638,6,31,38,46.19,95.44,.689,65.67,15.78,85.52,.674,1019.556,120.6,9,94.41,31.19,70.44,.0509999999999999,59.67,-15.22,47.52
2018/11/18 15:00,30,25,.676,5,34,38,45.66,94.38,.697,68.52,15.72,87.07,.71,1019.752,121.162,9,94.59,15.66,69.38,.0209999999999999,63.52,-18.28,49.07
2018/11/18 16:00,23,18,.665,5,39,34,46.81,96.41,.693,71.48,15.78,87.33,.667,1020.167,121.3,9,94.81,23.81,78.41,.0279999999999999,66.48,-23.22,53.33
2018/11/18 17:00,26,20,.671,5,43,28,48.95,102.41,.691,80.14,16.05,86.73,.773,1020.741,121.377,9,94.95,22.95,82.41,.0199999999999999,75.14,-26.95,58.73
2018/11/18 18:00,26,30,.71,6,52,14,55.68,112.68,.694,90.74,16.06,86.03,.574,1021.016,121.594,9,95.48,29.68,82.68,-.016,84.74,-35.94,72.03
2018/11/18 19:00,30,30,.748,6,45,24,63.77,119.73,.7,78.4,16,85.7,.527,1021.11,121.7,9,94.73,33.77,89.73,-.048,72.4,-29,61.7
2018/11/18 20:00,38,38,.759,5,40,30,63.77,119.83,.7,73.83,16.17,86.17,.427,1021.247,121.7,9,94.13,25.77,81.83,-.0590000000000001,68.83,-23.83,56.17
2018/11/18 21:00,36,33,.841,5,41,26,64.65,121.35,.708,75.31,16.04,84.65,.477,1021.631,121.7,9,93.31,28.65,88.35,-.133,70.31,-24.96,58.65
2018/11/18 22:00,41,31,.713,5,36,26,50.87,106.26,.704,66.83,15.48,79.13,.27,1021.809,121.7,8.57,94.83,9.87,75.26,-.00900000000000001,61.83,-20.52,53.13
2018/11/18 23:00,25,26,.705,6,37,21,52.81,109.44,.696,67.56,15.59,81.67,.563,1022.133,121.7,8.59,95.52,27.81,83.44,-.00900000000000001,61.56,-21.41,60.67
2018/11/19 0:00,28,25,.702,6,23,37,55.79,114.79,.689,52.71,15.54,79.93,.654,1022.346,121.7,8.39,91.57,27.79,89.79,-.013,46.71,-7.46,42.93
2018/11/19 1:00,34,31,.716,6,21,40,52.3,109.67,.693,51.43,15.27,77,.417,1022.16,121.7,8,89.77,18.3,78.67,-.023,45.43,-5.73,37
2018/11/19 2:00,35,33,.72,6,20,38,57.94,116.97,.697,48.26,15.06,71.58,.429,1022.081,121.7,8,88.42,22.94,83.97,-.023,42.26,-4.94,33.58
2018/11/19 3:00,43,31,.744,6,22,34,68.5,130.53,.7,48.63,15.07,73.63,.503,1022.017,121.7,8.27,87.37,25.5,99.53,-.044,42.63,-6.93,39.63
2018/11/19 4:00,48,41,.793,7,22,32,70.71,137.25,.7,50.46,15.25,75.83,.463,1022.113,121.7,8,86.08,22.71,96.25,-.0930000000000001,43.46,-6.75,43.83
2018/11/19 5:00,50,42,.885,7,23,24,81.3,159.96,.709,49.78,15.39,73.65,.539,1022.352,121.7,8,84.48,31.3,117.96,-.176,42.78,-7.61,49.65
2018/11/19 6:00,58,58,1.039,8,27,24,80.76,158.52,.74,54.84,15.64,76.16,.788,1022.652,121.7,8,82.56,22.76,100.52,-.299,46.84,-11.36,52.16
2018/11/19 7:00,65,64,1.385,9,36,18,87.3,170.26,.8,63.61,16.26,79.3,.665,1023.383,121.7,8.22,80.52,22.3,106.26,-.585,54.61,-19.74,61.3
2018/11/19 8:00,67,77,1.562,10,41,17,88.59,172.24,.838,66.86,16.66,78.86,.455,1023.969,121.7,9,79.1,21.59,95.24,-.724,56.86,-24.34,61.86
2018/11/19 9:00,69,77,1.479,10,35,25,89.61,174.74,.843,63.7,16.57,80.22,.496,1024.365,121.7,9.3,76.57,20.61,97.74,-.636,53.7,-18.43,55.22
2018/11/19 10:00,73,85,1.495,10,37,27,88.96,172.85,.856,65.48,16.59,82.56,.522,1024.648,121.7,10,72.59,15.96,87.85,-.639,55.48,-20.41,55.56
2018/11/19 11:00,73,92,1.522,10,44,29,88.85,172.69,.842,68.88,16.46,86.31,.696,1024.062,121.7,10.69,70.04,15.85,80.69,-.68,58.88,-27.54,57.31
2018/11/19 12:00,72,96,1.482,10,44,34,89.33,171.17,.875,69.75,16.08,89.75,.667,1023.1,121.7,12,65.13,17.33,75.17,-.607,59.75,-27.92,55.75
2018/11/19 13:00,75,87,1.484,10,44,42,86.92,165.83,.896,69.38,15.96,88.63,.788,1022.117,121.7,13.33,60.5,11.92,78.83,-.588,59.38,-28.04,46.63
2018/11/19 14:00,82,96,1.454,10,48,45,84.43,160.65,.874,71.52,16.22,95.83,.857,1021.939,121.7,12.57,62.09,2.43000000000001,64.65,-.58,61.52,-31.78,50.83
2018/11/19 15:00,73,92,1.381,10,52,41,82.25,158.5,.815,77.55,15.95,99.95,1.04,1021.725,121.7,11.75,65.1,9.25,66.5,-.566,67.55,-36.05,58.95
2018/11/19 16:00,71,85,1.691,10,67,22,81.39,157.65,.887,87.26,16.61,95.48,.626,1021.657,121.7,10.78,71.78,10.39,72.65,-.804,77.26,-50.39,73.48
2018/11/19 17:00,72,100,2.032,10,88,4,94.65,184.97,.932,64.68,17.77,95.84,.545,1022.239,121.7,9.48,80.52,22.65,84.97,-1.1,54.68,-70.23,91.84
2018/11/19 18:00,90,136,1.753,10,82,4,85.16,165.3,.884,58.16,17.05,96.3,.689,1023.176,121.7,9.81,78.97,-4.84,29.3,-.869,48.16,-64.95,92.3
2018/11/19 19:00,64,103,1.661,12,70,4,82.55,159.71,.865,65.55,16.77,88.26,.387,1023.281,121.7,8.81,82.29,18.55,56.71,-.796,53.55,-53.23,84.26
2018/11/19 20:00,67,95,1.734,11,66,3,86.93,173.6,.87,91.6,17.07,83.17,.307,1022.713,121.7,8,88.7,19.93,78.6,-.864,80.6,-48.93,80.17
2018/11/19 21:00,77,95,1.69,10,64,2,92.37,181.83,.887,90.63,17.67,82.7,.287,1022.873,121.7,7.67,90.9,15.37,86.83,-.803,80.63,-46.33,80.7
2018/11/19 22:00,77,105,1.61,9,59,2,94.65,186.68,.865,93.29,17.79,81.65,.406,1022.965,121.7,7.15,92,17.65,81.68,-.745,84.29,-41.21,79.65
2018/11/19 23:00,74,99,1.664,9,54,2,93.75,186.36,.881,91.64,17.81,79.78,.283,1022.7,121.7,7,93.03,19.75,87.36,-.783,82.64,-36.19,77.78
2018/11/20 0:00,69,93,1.632,9,50,3,87.38,173.78,.884,85.34,17.81,78.03,.247,1022.547,121.7,7.81,92.56,18.38,80.78,-.748,76.34,-32.19,75.03
2018/11/20 1:00,64,89,1.46,8,48,3,84.17,168.17,.823,78.4,16.9,74.97,.23,1021.953,121.7,7.6,92.1,20.17,79.17,-.637,70.4,-31.1,71.97
2018/11/20 2:00,72,75,1.3,7,44,4,78.82,154.91,.803,77.62,16.32,76.44,.271,1021.3,121.7,7.94,90.79,6.81999999999999,79.91,-.497,70.62,-27.68,72.44
2018/11/20 3:00,63,63,1.137,6,47,5,72.5,139.91,.773,79.95,15.86,79.27,.327,1020.868,121.7,8,88.41,9.5,76.91,-.364,73.95,-31.14,74.27
2018/11/20 4:00,56,59,1.048,6,42,12,67.11,132.22,.77,71.78,15.63,79.07,.374,1020.367,121.7,7.74,88.11,11.11,73.22,-.278,65.78,-26.37,67.07
2018/11/20 5:00,48,63,1.042,6,41,11,66.44,131.16,.74,67.08,15.88,75.48,.28,1020.896,121.7,6.6,92.88,18.44,68.16,-.302,61.08,-25.12,64.48
2018/11/20 6:00,54,55,1.16,6,42,10,70.2,138.12,.764,71.12,16.12,76.4,.496,1021.04,121.7,7,93.28,16.2,83.12,-.396,65.12,-25.88,66.4
2018/11/20 7:00,50,67,1.368,8,48,5,75.46,149.79,.817,86.71,17.17,79.96,.4,1021.213,121.7,7.71,90.08,25.46,82.79,-.551,78.71,-30.83,74.96
2018/11/20 8:00,57,67,1.391,10,46,16,89.19,172.5,.846,84.38,16.69,84.81,.992,1021.296,121.7,10.65,77.08,32.19,105.5,-.545,74.38,-29.31,68.81
2018/11/20 9:00,70,101,1.649,12,46,36,117.22,225.37,.926,75.48,16.37,95.33,1.441,1021.215,121.7,12.33,70.78,47.22,124.37,-.723,63.48,-29.63,59.33
2018/11/20 12:00,103,132,1.291,12,39,96,100.25,186.58,.9,57.96,15.54,71.42,1.9,1018.613,121.7,16,59.88,-2.75,54.58,-.391,45.96,-23.46,-24.58
2018/11/20 13:00,82,106,1.109,11,35,102,88.79,163.25,.836,58.96,15.18,76.07,1.214,1017.668,121.7,16.86,58.71,6.79000000000001,57.25,-.273,47.96,-19.82,-25.93
2018/11/20 14:00,69,96,.997,10,28,113,79.27,142.5,.846,51.23,15.31,82.88,.819,1018.231,121.7,17.23,57.88,10.27,46.5,-.151,41.23,-12.69,-30.12
2018/11/20 15:00,62,78,.955,9,29,111,69.63,125.74,.833,50.11,15.22,80.37,.744,1017.696,121.7,16.59,60.89,7.63,47.74,-.122,41.11,-13.78,-30.63
2018/11/20 16:00,54,84,.955,9,45,87,66.41,119.15,.774,60.26,15.26,64.37,.53,1017.644,117.193,14.85,67.85,12.41,35.15,-.181,51.26,-29.74,-22.63
2018/11/20 17:00,58,93,1.002,8,50,76,73.18,131.18,.782,82.55,15.18,63.09,.564,1017.227,121.7,14,72.91,15.18,38.18,-.22,74.55,-34.82,-12.91
2018/11/20 18:00,54,94,.988,9,42,76,82,148.25,.75,79.38,15.38,44.75,.663,1017.675,121.7,13.38,76.63,28,54.25,-.238,70.38,-26.62,-31.25
2018/11/20 19:00,56,94,.941,10,41,77,95.25,175.5,.725,75.25,15.25,44.5,.55,1017.125,121.7,13.75,77.5,39.25,81.5,-.216,65.25,-25.75,-32.5
2018/11/20 20:00,67,89,.965,10,46,62,95.5,176.17,.767,78.33,15.67,76.83,.617,1017,121.7,13.67,79,28.5,87.17,-.198,68.33,-30.33,14.83
