PM2.5,PM10,CO,NO2,SO2,O3,year,month,day,hour,minute
60,71,1.358,6,36,30,2018,11,21,13,0
100,106,1.76,8,42,38,2018,11,21,14,0
100,112,2.011,9,43,50,2018,11,21,15,0
90,104,2.298,11,49,53,2018,11,21,16,0
91,110,1.533,10,43,60,2018,11,21,17,0
93,116,2.094,11,50,59,2018,11,21,18,0
121,140,2.001,12,55,48,2018,11,21,19,0
122,150,1.594,10,50,54,2018,11,21,20,0
134,163,1.507,11,46,44,2018,11,21,21,0
124,155,1.103,10,42,32,2018,11,21,22,0
86,112,1.078,10,42,26,2018,11,21,23,0
75,108,1.041,10,43,20,2018,11,22,0,0
71,98,1.044,8,42,11,2018,11,22,1,0
63,87,1.341,8,45,7,2018,11,22,2,0
68,96,1.289,8,44,12,2018,11,22,3,0
84,105,1.277,8,41,20,2018,11,22,4,0
109,147,1.251,8,44,9,2018,11,22,5,0
108,142,1.34,7,45,4,2018,11,22,6,0
108,143,1.788,10,55,4,2018,11,22,7,0
105,150,1.563,12,56,10,2018,11,22,8,0
112,146,1.258,13,51,24,2018,11,22,9,0
81,109,1.06,11,45,47,2018,11,22,10,0
79,96,1.034,12,42,61,2018,11,22,11,0
74,131,0.957,12,34,85,2018,11,22,12,0
71,88,1.148,12,38,85,2018,11,22,13,0
73,108,1.24,13,37,88,2018,11,22,14,0
73,114,1.455,14,39,96,2018,11,22,15,0
78,107,1.726,17,64,76,2018,11,22,16,0
84,122,1.619,14,94,34,2018,11,22,17,0
94,146,1.745,11,102,9,2018,11,22,18,0
90,160,1.916,11,103,4,2018,11,22,19,0
95,174,1.401,11,94,2,2018,11,22,20,0
76,126,1.042,10,86,6,2018,11,22,21,0
56,106,0.975,10,63,24,2018,11,22,22,0
55,86,1.085,11,47,38,2018,11,22,23,0
54,82,0.946,10,49,30,2018,11,23,0,0
54,87,0.944,9,51,24,2018,11,23,1,0
50,78,0.946,8,59,9,2018,11,23,2,0
61,83,0.941,9,62,6,2018,11,23,3,0
55,83,1.033,9,63,3,2018,11,23,4,0
64,94,1.058,11,67,5,2018,11,23,5,0
66,108,1.204,11,70,3,2018,11,23,6,0
69,102,1.353,11,71,5,2018,11,23,7,0
75,132,1.17,14,61,14,2018,11,23,8,0
82,137,1.115,17,63,27,2018,11,23,9,0
92,135,1.025,16,50,47,2018,11,23,10,0
74,125,0.944,15,42,66,2018,11,23,11,0
68,111,0.84,12,26,91,2018,11,23,12,0
55,97,0.803,11,26,98,2018,11,23,13,0
55,101,0.782,10,26,103,2018,11,23,14,0
46,89,0.791,9,34,91,2018,11,23,15,0
47,84,0.829,8,49,73,2018,11,23,16,0
44,100,0.994,8,75,39,2018,11,23,17,0
52,139,1.371,8,92,15,2018,11,23,18,0
71,155,1.517,9,98,3,2018,11,23,19,0
69,142,1.099,10,99,3,2018,11,23,20,0
87,135,1.051,11,91,4,2018,11,23,21,0
84,127,1.095,10,87,2,2018,11,23,22,0
78,128,1.094,10,83,4,2018,11,23,23,0
79,117,1.199,9,75,3,2018,11,24,0,0
78,111,1.21,8,71,2,2018,11,24,1,0
76,99,1.311,8,60,3,2018,11,24,2,0
67,94,1.156,7,54,3,2018,11,24,3,0
69,81,1.102,7,52,3,2018,11,24,4,0
58,87,1.175,8,53,2,2018,11,24,5,0
65,125,1.301,8,55,2,2018,11,24,6,0
67,152,1.438,9,60,4,2018,11,24,7,0
67,107,1.349,12,66,4,2018,11,24,8,0
73,113,1.515,17,77,5,2018,11,24,9,0
85,133,1.477,18,81,12,2018,11,24,10,0
81,137,1.38,18,84,18,2018,11,24,11,0
84,131,1.307,19,84,26,2018,11,24,12,0
67,124,1.476,22,81,44,2018,11,24,13,0
73,112,1.495,21,86,51,2018,11,24,14,0
79,118,1.493,19,102,46,2018,11,24,15,0
88,127,1.344,18,105,62,2018,11,24,16,0
99,155,1.99,15,150,11,2018,11,24,17,0
131,270,1.957,15,134,2,2018,11,24,18,0
97,173,1.46,12,105,8,2018,11,24,19,0
95,142,1.303,12,77,25,2018,11,24,20,0
85,127,1.428,13,83,16,2018,11,24,21,0
97,131,1.501,12,92,5,2018,11,24,22,0
103,149,1.787,11,84,4,2018,11,24,23,0
98,140,1.564,10,75,4,2018,11,25,0,0
105,143,1.598,10,69,6,2018,11,25,1,0
110,151,1.637,9,63,9,2018,11,25,2,0
117,144,1.751,9,63,8,2018,11,25,3,0
113,149,1.762,9,63,5,2018,11,25,4,0
124,147,1.776,10,61,5,2018,11,25,5,0
122,159,1.799,9,59,2,2018,11,25,6,0
124,156,1.873,11,68,4,2018,11,25,7,0
120,189,1.743,13,71,12,2018,11,25,8,0
131,177,1.823,15,80,14,2018,11,25,9,0
142,186,1.799,16,79,39,2018,11,25,10,0
139,185,1.624,17,60,89,2018,11,25,11,0
125,174,1.366,16,37,143,2018,11,25,12,0
107,140,1.224,15,31,163,2018,11,25,13,0
90,119,1.204,14,31,170,2018,11,25,14,0
84,120,1.235,13,40,157,2018,11,25,15,0
101,165,1.34,12,53,133,2018,11,25,16,0
98,184,1.374,13,64,107,2018,11,25,17,0
102,158,1.849,10,114,32,2018,11,25,18,0
128,176,1.865,11,102,29,2018,11,25,19,0
143,193,1.819,11,97,23,2018,11,25,20,0
142,191,2.128,11,102,4,2018,11,25,21,0
142,185,2.443,10,90,2,2018,11,25,22,0
140,190,2.502,9,79,2,2018,11,25,23,0
134,173,2.485,9,66,2,2018,11,26,0,0
133,165,2.321,10,62,2,2018,11,26,1,0
118,156,2.271,10,58,2,2018,11,26,2,0
117,156,2.115,9,50,2,2018,11,26,3,0
110,136,1.952,9,46,2,2018,11,26,4,0
106,138,1.709,9,51,2,2018,11,26,5,0
106,144,1.626,9,47,2,2018,11,26,6,0
100,140,1.81,10,50,2,2018,11,26,7,0
96,127,1.853,10,57,3,2018,11,26,8,0
98,152,1.713,10,70,6,2018,11,26,9,0
101,157,1.702,8,68,10,2018,11,26,10,0
104,169,1.79,8,54,33,2018,11,26,11,0
117,141,1.514,8,55,44,2018,11,26,12,0
129,135,1.502,8,58,55,2018,11,26,13,0
143,151,1.595,8,69,50,2018,11,26,14,0
155,175,1.637,8,83,44,2018,11,26,15,0
168,193,1.791,8,99,21,2018,11,26,16,0
164,208,2.029,8,101,3,2018,11,26,17,0
152,222,2.497,9,93,3,2018,11,26,18,0
144,220,2.87,11,79,2,2018,11,26,19,0
140,216,2.614,12,77,2,2018,11,26,20,0
127,219,1.988,12,84,1,2018,11,26,21,0
79,93,1.677,9,77,1,2018,11,26,22,0
54,61,1.5,7,77,2,2018,11,26,23,0
45,53,1.456,7,75,3,2018,11,27,0,0
39,50,1.686,6,64,8,2018,11,27,1,0
43,51,1.454,6,43,23,2018,11,27,2,0
44,51,1.412,6,32,37,2018,11,27,3,0
36,61,1.386,6,26,48,2018,11,27,4,0
42,62,1.386,6,27,46,2018,11,27,5,0
46,69,1.425,6,33,39,2018,11,27,6,0
45,69,1.716,6,43,27,2018,11,27,7,0
51,71,1.884,6,47,26,2018,11,27,8,0
55,66,1.656,6,51,28,2018,11,27,9,0
72,82,1.762,7,60,32,2018,11,27,10,0
87,102,1.966,8,70,36,2018,11,27,11,0
85,111,2.097,11,77,43,2018,11,27,12,0
78,108,2.049,14,81,62,2018,11,27,13,0
82,111,2.146,13,86,65,2018,11,27,14,0
89,121,2.043,12,92,61,2018,11,27,15,0
87,123,2.252,11,125,23,2018,11,27,16,0
95,146,2.999,10,128,4,2018,11,27,17,0
139,265,3.85,12,123,4,2018,11,27,18,0
134,239,3.895,14,106,2,2018,11,27,19,0
121,213,3.613,14,92,2,2018,11,27,20,0
115,175,3.299,14,82,2,2018,11,27,21,0
102,142,3.23,14,77,2,2018,11,27,22,0
91,129,2.405,12,76,2,2018,11,27,23,0
89,118,2.348,11,66,2,2018,11,28,0,0
84,116,2.246,11,59,2,2018,11,28,1,0
86,104,1.956,10,58,2,2018,11,28,2,0
86,110,1.812,8,50,2,2018,11,28,3,0
84,105,1.714,8,48,2,2018,11,28,4,0
92,118,1.814,8,48,2,2018,11,28,5,0
103,127,1.944,9,53,2,2018,11,28,6,0
111,161,2.336,11,74,3,2018,11,28,7,0
119,180,2.609,11,94,3,2018,11,28,8,0
100,156,2.615,10,90,4,2018,11,28,9,0
128,186,2.386,10,84,9,2018,11,28,10,0
125,136,2.315,10,94,16,2018,11,28,11,0
102,126,2.33,10,90,28,2018,11,28,12,0
99,173,2.497,8,116,5,2018,11,28,18,0
136,216,2.555,8,111,3,2018,11,28,19,0
143,195,2.612,8,105,2,2018,11,28,20,0
140,184,2.601,9,102,2,2018,11,28,21,0
144,197,2.57,10,97,2,2018,11,28,22,0
146,188,2.542,9,87,2,2018,11,28,23,0
145,192,2.12,9,85,2,2018,11,29,0,0
153,184,2.522,9,75,2,2018,11,29,1,0
142,174,2.198,9,66,2,2018,11,29,2,0
138,176,2.346,9,52,2,2018,11,29,3,0
119,163,2.131,9,47,2,2018,11,29,4,0
128,162,1.634,7,48,2,2018,11,29,5,0
99,154,1.788,8,53,3,2018,11,29,6,0
120,157,2.051,10,67,2,2018,11,29,7,0
121,193,1.966,12,81,4,2018,11,29,8,0
164,231,1.692,12,78,12,2018,11,29,9,0
170,204,1.631,14,78,21,2018,11,29,10,0
150,178,2.044,16,108,21,2018,11,29,11,0
118,180,1.329,12,40,100,2018,11,29,14,0
92,182,1.98,13,96,73,2018,11,29,15,0
122,215,2.886,16,145,40,2018,11,29,16,0
178,246,2.401,16,115,6,2018,11,29,17,0
132,175,2.394,17,100,3,2018,11,29,18,0
153,178,2.256,15,87,2,2018,11,29,19,0
151,178,2.102,10,72,7,2018,11,29,20,0
133,170,2.021,9,60,12,2018,11,29,21,0
135,186,2.025,9,64,10,2018,11,29,22,0
143,187,1.984,9,57,12,2018,11,29,23,0
157,216,2.02,8,55,12,2018,11,30,0,0
162,215,2.138,9,66,9,2018,11,30,1,0
166,219,2.074,9,62,10,2018,11,30,2,0
158,212,2.079,8,60,8,2018,11,30,3,0
150,206,1.966,8,47,16,2018,11,30,4,0
152,221,1.991,8,44,18,2018,11,30,5,0
167,233,2.066,9,53,10,2018,11,30,6,0
177,230,2.142,9,55,6,2018,11,30,7,0
171,234,2.129,9,47,10,2018,11,30,8,0
175,227,2.176,9,46,17,2018,11,30,9,0
168,228,2.134,10,43,26,2018,11,30,10,0
177,228,1.992,10,44,42,2018,11,30,11,0
166,202,2.05,10,42,54,2018,11,30,12,0
156,196,2.036,10,45,68,2018,11,30,13,0
173,219,2.065,9,46,76,2018,11,30,14,0
171,211,2.318,10,58,70,2018,11,30,15,0
173,230,2.166,10,68,56,2018,11,30,16,0
198,255,2.582,10,98,25,2018,11,30,17,0
216,276,2.806,10,111,9,2018,11,30,18,0
216,287,2.536,11,117,2,2018,11,30,19,0
206,295,2.844,12,114,3,2018,11,30,20,0
100,135,1.059,10,32,43,2018,12,1,12,0
86,140,0.993,10,33,48,2018,12,1,13,0
76,137,0.994,9,45,40,2018,12,1,14,0
80,151,1.073,9,59,27,2018,12,1,15,0
89,171,1.202,8,69,16,2018,12,1,16,0
96,188,1.381,8,82,5,2018,12,1,17,0
101,177,1.4,8,81,3,2018,12,1,18,0
98,163,1.292,8,72,8,2018,12,1,19,0
94,151,1.446,8,73,2,2018,12,1,20,0
96,141,1.426,8,69,2,2018,12,1,21,0
75,132,1.49,10,70,2,2018,12,1,22,0
70,133,1.461,9,65,2,2018,12,1,23,0
95,122,1.279,8,64,2,2018,12,2,0,0
83,135,1.248,8,54,6,2018,12,2,1,0
100,150,1.353,9,54,7,2018,12,2,2,0
111,159,1.536,10,59,5,2018,12,2,3,0
105,131,1.473,9,58,3,2018,12,2,4,0
112,157,1.442,9,57,3,2018,12,2,5,0
112,147,1.481,8,56,2,2018,12,2,6,0
108,140,1.478,9,55,3,2018,12,2,7,0
98,133,1.335,9,50,5,2018,12,2,8,0
77,134,1.233,9,47,7,2018,12,2,9,0
63,90,1.233,8,45,9,2018,12,2,10,0
81,99,1.283,8,49,8,2018,12,2,11,0
82,108,1.334,8,53,11,2018,12,2,12,0
73,81,1.352,8,52,11,2018,12,2,13,0
72,81,1.414,8,51,14,2018,12,2,14,0
72,83,1.423,8,56,10,2018,12,2,15,0
77,79,1.523,8,58,4,2018,12,2,16,0
64,66,1.371,8,52,8,2018,12,2,17,0
62,66,1.406,8,56,4,2018,12,2,18,0
65,72,1.398,8,53,4,2018,12,2,19,0
54,66,1.3,7,52,3,2018,12,2,20,0
69,76,1.353,8,53,2,2018,12,2,21,0
70,69,1.55,8,53,2,2018,12,2,22,0
69,77,1.513,8,51,2,2018,12,2,23,0
71,74,1.593,9,54,2,2018,12,3,0,0
68,90,1.553,9,51,2,2018,12,3,1,0
76,79,1.474,8,50,2,2018,12,3,2,0
75,84,1.529,8,46,2,2018,12,3,3,0
76,89,1.492,8,38,3,2018,12,3,4,0
103,140,1.548,8,38,3,2018,12,3,5,0
111,158,1.645,8,39,2,2018,12,3,6,0
110,150,1.879,8,41,3,2018,12,3,7,0
109,140,1.877,10,45,3,2018,12,3,8,0
130,168,1.888,10,47,4,2018,12,3,9,0
152,194,1.908,10,47,3,2018,12,3,10,0
143,175,1.743,10,46,4,2018,12,3,11,0
152,182,1.641,10,42,6,2018,12,3,12,0
137,168,1.388,10,37,10,2018,12,3,13,0
129,145,1.274,9,38,9,2018,12,3,14,0
111,129,1.208,9,39,14,2018,12,3,15,0
100,124,1.304,8,43,10,2018,12,3,16,0
103,123,1.429,8,47,5,2018,12,3,17,0
107,122,1.455,8,50,4,2018,12,3,18,0
91,116,1.44,8,49,2,2018,12,3,19,0
93,91,1.336,8,42,3,2018,12,3,20,0
56,50,1.307,7,36,3,2018,12,3,21,0
33,37,1.377,7,36,2,2018,12,3,22,0
6,21,1.343,7,31,3,2018,12,3,23,0
22,6,1.39,7,30,4,2018,12,4,0,0
40,28,2.011,6,37,2,2018,12,4,1,0
13,15,2.123,6,33,4,2018,12,4,2,0
12,10,1.743,6,29,5,2018,12,4,3,0
12,9,1.032,7,18,17,2018,12,4,4,0
10,8,0.974,7,20,19,2018,12,4,5,0
11,12,0.949,6,23,18,2018,12,4,6,0
12,12,0.964,6,27,19,2018,12,4,7,0
7,13,0.974,6,27,22,2018,12,4,8,0
33,33,0.929,6,27,25,2018,12,4,9,0
47,62,0.868,6,24,32,2018,12,4,10,0
49,78,0.803,7,27,29,2018,12,4,11,0
54,95,0.744,7,23,32,2018,12,4,12,0
48,79,0.732,7,25,27,2018,12,4,13,0
38,74,0.654,7,25,29,2018,12,4,14,0
24,56,0.631,7,32,24,2018,12,4,15,0
26,53,0.651,7,34,21,2018,12,4,16,0
24,62,0.663,7,32,24,2018,12,4,17,0
24,62,0.639,9,28,29,2018,12,4,18,0
21,54,0.598,11,27,32,2018,12,4,19,0
21,56,0.607,8,22,36,2018,12,4,20,0
19,48,0.694,7,22,36,2018,12,4,21,0
27,54,0.629,7,20,39,2018,12,4,22,0
27,57,0.572,6,20,38,2018,12,4,23,0
17,62,0.548,7,18,38,2018,12,5,0,0
21,66,0.571,7,17,40,2018,12,5,1,0
20,67,0.533,7,14,45,2018,12,5,2,0
19,74,0.527,7,15,43,2018,12,5,3,0
22,80,0.541,7,16,43,2018,12,5,4,0
13,79,0.559,8,18,40,2018,12,5,5,0
20,79,0.598,9,25,36,2018,12,5,6,0
23,83,0.634,10,27,37,2018,12,5,7,0
25,88,0.624,9,27,39,2018,12,5,8,0
20,86,0.578,8,20,49,2018,12,5,9,0
21,82,0.602,7,19,50,2018,12,5,10,0
19,74,0.67,8,21,47,2018,12,5,11,0
24,72,0.686,7,24,46,2018,12,5,12,0
20,70,0.717,8,27,43,2018,12,5,13,0
20,68,0.691,8,32,36,2018,12,5,14,0
21,66,0.717,9,30,37,2018,12,5,15,0
19,73,0.785,8,36,32,2018,12,5,16,0
21,69,0.858,8,44,20,2018,12,5,17,0
29,65,0.895,7,47,12,2018,12,5,18,0
28,44,0.728,6,42,16,2018,12,5,19,0
24,29,0.666,6,35,20,2018,12,5,20,0
16,20,0.605,6,25,31,2018,12,5,21,0
10,15,0.579,7,16,46,2018,12,5,22,0
8,6,0.547,6,13,51,2018,12,5,23,0
15,6,0.512,6,9,55,2018,12,6,0,0
8,6,0.506,6,10,54,2018,12,6,1,0
3,6,0.512,5,8,57,2018,12,6,2,0
3,6,0.481,5,8,57,2018,12,6,3,0
13,6,0.496,5,12,52,2018,12,6,4,0
7,6,0.472,6,11,56,2018,12,6,5,0
3,8,0.503,6,17,48,2018,12,6,6,0
9,6,0.573,7,21,46,2018,12,6,7,0
7,7,0.57,7,19,48,2018,12,6,8,0
3,9,0.534,7,25,40,2018,12,6,9,0
16,16,0.549,6,29,36,2018,12,6,10,0
3,16,0.568,6,29,34,2018,12,6,11,0
49,86,0.793,8,27,20,2018,12,7,0,0
63,89,0.93,8,33,15,2018,12,7,1,0
71,110,1.002,8,30,16,2018,12,7,2,0
61,100,0.707,9,21,22,2018,12,7,3,0
46,73,0.474,8,15,26,2018,12,7,4,0
26,60,0.366,8,16,28,2018,12,7,5,0
12,50,0.383,8,18,28,2018,12,7,6,0
27,47,0.422,9,25,26,2018,12,7,7,0
19,44,0.416,8,25,26,2018,12,7,8,0
17,56,0.356,8,24,27,2018,12,7,9,0
18,43,0.331,8,27,28,2018,12,7,10,0
11,28,0.303,7,25,30,2018,12,7,11,0
11,28,0.252,8,24,31,2018,12,7,12,0
14,31,0.272,10,27,31,2018,12,7,13,0
18,38,0.284,9,27,29,2018,12,7,14,0
16,42,0.302,8,31,28,2018,12,7,15,0
16,42,0.265,8,26,31,2018,12,7,16,0
15,39,0.255,8,26,34,2018,12,7,17,0
22,45,0.267,8,29,33,2018,12,7,18,0
17,43,0.299,8,31,30,2018,12,7,19,0
17,43,0.264,9,30,30,2018,12,7,20,0
20,39,0.24,10,33,29,2018,12,7,21,0
15,44,0.207,9,28,32,2018,12,7,22,0
16,35,0.193,10,22,36,2018,12,7,23,0
21,37,0.186,10,19,39,2018,12,8,0,0
14,40,0.178,10,18,39,2018,12,8,1,0
26,38,0.159,12,18,40,2018,12,8,2,0
20,41,0.153,10,16,40,2018,12,8,3,0
17,44,0.18,10,14,44,2018,12,8,4,0
22,39,0.218,15,21,44,2018,12,8,5,0
27,48,0.295,14,26,40,2018,12,8,6,0
24,45,0.321,12,29,38,2018,12,8,7,0
23,55,0.318,13,31,38,2018,12,8,8,0
28,56,0.305,14,30,41,2018,12,8,9,0
25,67,0.255,15,30,44,2018,12,8,10,0
36,58,0.252,18,31,45,2018,12,8,11,0
31,73,0.248,16,28,47,2018,12,8,12,0
26,59,0.243,16,32,46,2018,12,8,13,0
24,56,0.25,14,28,48,2018,12,8,14,0
29,61,0.267,14,33,48,2018,12,8,15,0
37,59,0.245,14,33,47,2018,12,8,16,0
29,55,0.354,14,37,45,2018,12,8,17,0
29,66,0.405,19,36,44,2018,12,8,18,0
35,64,0.442,18,38,42,2018,12,8,19,0
40,65,0.482,13,38,42,2018,12,8,20,0
36,73,0.476,17,39,41,2018,12,8,21,0
35,68,0.482,16,39,40,2018,12,8,22,0
44,72,0.493,19,35,41,2018,12,8,23,0
41,85,0.517,16,32,40,2018,12,9,0,0
43,70,0.523,16,30,40,2018,12,9,1,0
36,63,0.49,18,29,41,2018,12,9,2,0
36,55,0.447,14,23,47,2018,12,9,3,0
31,49,0.324,12,25,48,2018,12,9,4,0
32,48,0.281,21,29,48,2018,12,9,5,0
28,42,0.288,22,32,46,2018,12,9,6,0
29,39,0.373,17,32,46,2018,12,9,7,0
